"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"VALUE";
"1";"";"MA03-1";"MA03-1";"SV1";"PIN HEADER";"";"";"";"unknown";"unknown";"";"";
"1";"";"TAC_SWITCHSMD";"TACTILE_SWITCH_SMD";"S1";"Momentary Switch";"CKN9104CT-ND";"";"";"";"";"SWCH-08247";"";
"13";".1uF";"C-USC0805";"C0805";"C1, C7, C9, C10, C11, C13, C15, C16, C17, C18, C19, C20, C22";"CAPACITOR, American symbol";"311-1361-1-ND";"";"";"";"";"";"";
"1";"100";"R-US_R0805";"R0805";"R18";"RESISTOR, American symbol";"311-100ARCT-ND";"";"";"";"";"";"";
"2";"100k";"R-US_R0805";"R0805";"R16, R20";"RESISTOR, American symbol";"311-100KCRCT-ND";"";"";"";"";"";"";
"6";"10k";"R-US_R0805";"R0805";"R2, R4, R14, R15, R22, R23";"RESISTOR, American symbol";"311-10.0KCRCT-ND";"";"";"";"";"";"";
"5";"10nF";"C-USC0805";"C0805";"C2, C4, C6, C8, C12";"CAPACITOR, American symbol";"399-1158-1-ND";"";"";"";"";"";"";
"8";"160 ohm";"SM-1206";"SM-1206";"L1, L2, L3, L4, L5, L6, L7, L8";"INDUCTOR";"240-2411-1-ND";"";"";"unknown";"unknown";"";"";
"1";"16MHz";"RESONATOR16MHZ";"RESONATOR-SMD";"Y1";"Resonator";"478-5420-1-ND";"";"";"";"";"XTAL-08900";"16MHz";
"1";"1M";"R-US_R0805";"R0805";"R1";"RESISTOR, American symbol";"311-1.0MARCT-ND";"";"";"";"";"";"";
"5";"1k";"R-US_R0805";"R0805";"R3, R5, R10, R11, R12";"RESISTOR, American symbol";"311-1.0KARCT-ND";"";"";"";"";"";"";
"2";"2.2k";"R-US_R0805";"R0805";"R7, R13";"RESISTOR, American symbol";"311-2.2KARCT-ND";"";"";"";"";"";"";
"2";"2N2222";"BC817-16LT1SMD";"SOT23-BEC";"Q1, Q2";"NPN Transistor";"MMBT2222AFSCT-ND";"";"";"";"";"";"";
"1";"390";"R-US_R0805";"R0805";"R9";"RESISTOR, American symbol";"311-390ARCT-ND";"";"";"";"";"";"";
"3";"4.7k";"R-US_R0805";"R0805";"R6, R8, R19";"RESISTOR, American symbol";"311-4.7KARCT-ND";"";"";"";"";"";"";
"2";"47k";"R-US_R0805";"R0805";"R17, R21";"RESISTOR, American symbol";"311-47.0KCRCT-ND";"";"";"";"";"";"";
"2";"47nF";"C-USC0805";"C0805";"C3, C5";"CAPACITOR, American symbol";"399-1166-1-ND";"";"";"";"";"";"";
"2";"47uF";"CPOL-US153CLV-0605";"153CLV-0605";"C14, C21";"POLARIZED CAPACITOR, American symbol";"PCE3842CT-ND";"";"";"";"";"";"";
"1";"5.5x2.1mm Barrel";"POWER_JACKSMD";"POWER_JACK_SMD";"J1";"Power Jack";"CP-002AHPJCT-ND";"";"";"";"";"CONN-08106";"5.5x2.1mm Barrel";
"1";"ARDUINO_R3_SHIELD";"ARDUINO_R3_SHIELD";"UNO_R3_SHIELD";"SH11";"Shield form compatible with the Arduino Uno R3.";"SAM1112-32-ND";"";"";"";"";"";"";
"1";"ATMega328";"MEGA8-AI";"TQFP32-08";"U7";"MICROCONTROLLER";"ATMEGA328P-15AZCT-ND";"";"ATMEGA8-16AU";"9171371";"73M8863";"";"";
"1";"B220/A";"B340A";"SMA-DIODE";"D2";"Schottky Diode";"641-1258-1-ND";"";"";"";"";"DIO-09886";"BA340A";
"1";"BMP180";"BMP180";"BMP180";"U8";"BOSCH BMP180 DIGITAL BAROMETRIC PRESSURE SENSOR";"828-1027-1-ND";"";"";"";"";"";"";
"1";"BSS138";"BSS138";"BSS138";"U$1";"BSS138";"BSS138CT-ND";"";"";"";"";"";"";
"1";"BU-SMA-H";"BU-SMA-H";"BU-SMA-H";"X1";"FEMALE SMA CONNECTOR";"CONSMA002-G-ND";"";"";"unknown";"unknown";"";"";
"1";"BUZZERNS";"BUZZERNS";"BUZZER-12MM-NS";"SG1";"Buzzer 12mm";"102-1155-ND";"";"";"";"";"";"";
"1";"GPS_ANT_SMDBAR";"GPS_ANT_SMDBAR";"1575AT43A40";"ANT1";"1.575 GHz GPS Antenna Johanson Technology";"712-1003-1-ND";"";"";"";"";"";"";
"1";"Green";"LEDCHIPLED_1206";"CHIPLED_1206";"LED1";"LED";"160-1169-1-ND";"";"";"";"";"";"";
"1";"LL4148";"DIODE-MINIMELF";"MINIMELF";"D1";"DIODE";"568-1749-1-ND";"";"";"";"";"";"";
"1";"LM1086";"LM1086TO263";"TO263";"U4";"";"LM1086ISX-5.0/NOPBCT-ND";"";"";"";"";"";"";
"1";"LMV324M";"LMV324M";"SO14";"U9";"Quad General Purpose, Low Voltage, Rail-to-Rail Output Operational Amplifiers";"LT1679CS#PBF-ND";"";"";"";"";"";"";
"1";"RADIOMETRIX-HX1";"RADIOMETRIX-HX1";"RADIOMETRIX-HX1";"U5";"";"";"";"";"";"";"";"";
"1";"Red";"LEDCHIPLED_1206";"CHIPLED_1206";"LED2";"LED";"160-1405-1-ND";"";"";"";"";"";"";
"1";"UBLOX_MAX";"UBLOX_MAX";"UBLOX_MAX";"U3";"UBLOX MAX";"";"";"";"";"";"";"";
"1";"VHF";"22-05-7068-06";"7395-06";"J2";"CONNECTOR";"WM4304-ND";"";"";"unknown";"unknown";"";"";
"1";"V_REG_LDOSMD";"V_REG_LDOSMD";"SOT23-5";"U6";"Voltage Regulator LDO";"LP3985IM5-3.3/NOPBCT-ND";"";"";"";"";"";"";
